country,Human Development Index (HDI) ,Expected years of schooling,Mean years of schooling,HDI rank,country_standardized
Switzerland,0.967,16.6,13.9,1.0,Switzerland
Norway,0.966,18.6,13.1,2.0,Norway
Iceland,0.959,19.1,13.8,4.0,Iceland
"Hong Kong, China (SAR)",0.956,17.8,12.3,3.0,Hong Kong
Denmark,0.952,18.8,13.0,8.0,Denmark
Sweden,0.952,19.0,12.7,5.0,Sweden
Germany,0.95,17.3,14.3,7.0,Germany
Ireland,0.95,19.1,11.7,9.0,Ireland
Singapore,0.949,16.9,11.9,10.0,Singapore
Australia,0.946,21.1,12.7,5.0,Australia
Netherlands,0.946,18.6,12.6,11.0,Netherlands
Belgium,0.942,18.9,12.5,13.0,Belgium
Finland,0.942,19.2,12.9,11.0,Finland
Liechtenstein,0.942,15.5,12.4,14.0,Liechtenstein
United Kingdom,0.94,17.6,13.4,17.0,United Kingdom
New Zealand,0.939,19.7,12.9,14.0,New Zealand
United Arab Emirates,0.937,17.2,12.8,17.0,United Arab Emirates
Canada,0.935,16.0,13.9,16.0,Canada
Korea (Republic of),0.929,16.5,12.6,20.0,South Korea
Luxembourg,0.927,14.2,13.0,19.0,Luxembourg
United States,0.927,16.4,13.6,21.0,United States of America
Austria,0.926,16.4,12.3,22.0,Austria
Slovenia,0.926,17.4,12.9,24.0,Slovenia
Japan,0.92,15.5,12.7,22.0,Japan
Israel,0.915,15.0,13.4,26.0,Israel
Malta,0.915,15.9,12.2,25.0,Malta
Spain,0.911,17.8,10.6,28.0,Spain
France,0.91,16.0,11.7,27.0,France
Cyprus,0.907,16.2,12.4,29.0,Cyprus
Italy,0.906,16.7,10.7,30.0,Italy
Estonia,0.899,15.9,13.5,32.0,Estonia
Czechia,0.895,16.3,12.9,31.0,Czech Republic
Greece,0.893,20.0,11.4,33.0,Greece
Bahrain,0.888,16.3,11.0,34.0,Bahrain
Andorra,0.884,12.8,11.6,43.0,Andorra
Poland,0.881,15.9,13.2,35.0,Poland
Latvia,0.879,16.6,13.3,39.0,Latvia
Lithuania,0.879,16.4,13.5,36.0,Lithuania
Croatia,0.878,15.6,12.3,37.0,Croatia
Qatar,0.875,13.3,10.1,41.0,Qatar
Saudi Arabia,0.875,15.2,11.3,37.0,Saudi Arabia
Portugal,0.874,16.8,9.6,39.0,Portugal
San Marino,0.867,12.4,10.5,44.0,San Marino
Chile,0.86,16.8,11.1,42.0,Chile
Slovakia,0.855,14.7,13.0,45.0,Slovakia
Türkiye,0.855,19.7,8.8,48.0,Turkey
Hungary,0.851,15.1,12.2,46.0,Hungary
Argentina,0.849,19.0,11.1,47.0,Argentina
Kuwait,0.847,15.7,7.4,50.0,Kuwait
Montenegro,0.844,15.1,12.6,49.0,Montenegro
Saint Kitts and Nevis,0.838,18.4,10.8,51.0,Saint Kitts and Nevis
Uruguay,0.83,17.4,9.1,56.0,Uruguay
Romania,0.827,14.5,11.4,52.0,Romania
Antigua and Barbuda,0.826,15.5,10.5,54.0,Antigua and Barbuda
Brunei Darussalam,0.823,13.7,9.2,53.0,Brunei
Russian Federation,0.821,15.7,12.4,55.0,Russia
Bahamas,0.82,11.9,12.7,67.0,Bahamas
Panama,0.82,13.2,10.7,57.0,Panama
Oman,0.819,13.0,11.9,58.0,Oman
Georgia,0.814,16.7,12.7,59.0,Georgia
Trinidad and Tobago,0.814,14.1,11.7,60.0,Trinidad and Tobago
Barbados,0.809,16.5,9.9,63.0,Barbados
Malaysia,0.807,12.9,10.7,68.0,Malaysia
Costa Rica,0.806,16.1,8.8,60.0,Costa Rica
Serbia,0.805,14.5,11.5,60.0,Serbia
Thailand,0.803,15.6,8.8,69.0,Thailand
Kazakhstan,0.802,14.8,12.4,65.0,Kazakhstan
Seychelles,0.802,13.9,11.2,71.0,Seychelles
Belarus,0.801,14.0,12.2,65.0,Belarus
Bulgaria,0.799,13.9,11.4,70.0,Bulgaria
Palau,0.797,17.2,13.0,64.0,Palau
Mauritius,0.796,14.6,10.0,72.0,Mauritius
Grenada,0.793,16.6,9.9,73.0,Grenada
Albania,0.789,14.5,10.1,74.0,Albania
China,0.788,15.2,8.1,74.0,China
Armenia,0.786,14.4,11.3,79.0,Armenia
Mexico,0.781,14.5,9.2,83.0,Mexico
Iran (Islamic Republic of),0.78,14.1,10.7,77.0,Iran
Sri Lanka,0.78,13.6,11.2,76.0,Sri Lanka
Bosnia and Herzegovina,0.779,13.3,10.5,77.0,Bosnia and Herzegovina
Saint Vincent and the Grenadines,0.772,16.3,11.0,80.0,Saint Vincent and the Grenadines
Dominican Republic,0.766,13.6,9.2,84.0,Dominican Republic
Ecuador,0.765,14.9,9.0,90.0,Ecuador
North Macedonia,0.765,13.0,10.2,82.0,North Macedonia
Cuba,0.764,14.5,10.5,92.0,Cuba
Moldova (Republic of),0.763,14.9,11.8,81.0,Moldova
Maldives,0.762,12.2,7.8,88.0,Maldives
Peru,0.762,14.8,10.0,86.0,Peru
Azerbaijan,0.76,12.7,10.6,95.0,Azerbaijan
Brazil,0.76,15.6,8.3,84.0,Brazil
Colombia,0.758,14.4,8.9,89.0,Colombia
Libya,0.746,14.0,7.8,90.0,Libya
Algeria,0.745,15.5,7.0,93.0,Algeria
Turkmenistan,0.744,13.2,11.1,93.0,Turkmenistan
Guyana,0.742,13.0,8.6,105.0,Guyana
Mongolia,0.741,14.5,9.4,99.0,Mongolia
Dominica,0.74,13.6,9.2,97.0,Dominica
Tonga,0.739,16.3,10.9,95.0,Tonga
Jordan,0.736,12.6,10.4,98.0,Jordan
Ukraine,0.734,13.3,11.1,86.0,Ukraine
Tunisia,0.732,14.6,8.0,101.0,Tunisia
Marshall Islands,0.731,16.4,12.8,101.0,Marshall Islands
Paraguay,0.731,13.9,8.9,99.0,Paraguay
Fiji,0.729,13.8,10.4,110.0,Fiji
Egypt,0.728,12.9,9.8,103.0,Egypt
Uzbekistan,0.727,12.0,11.9,105.0,Uzbekistan
Viet Nam,0.726,13.1,8.5,108.0,Vietnam
Saint Lucia,0.725,12.7,8.6,109.0,Saint Lucia
Lebanon,0.723,12.1,8.6,104.0,Lebanon
South Africa,0.717,14.3,11.6,105.0,South Africa
"Palestine, State of",0.716,13.2,9.9,110.0,Palestine
Indonesia,0.713,14.0,8.6,113.0,Indonesia
Philippines,0.71,12.8,9.0,118.0,Philippines
Botswana,0.708,11.4,10.4,124.0,Botswana
Jamaica,0.706,12.5,9.2,114.0,Jamaica
Samoa,0.702,12.4,11.4,112.0,Samoa
Kyrgyzstan,0.701,13.0,12.0,116.0,Kyrgyzstan
Belize,0.7,12.4,8.8,115.0,Belize
Venezuela (Bolivarian Republic of),0.699,13.5,9.6,120.0,Venezuela
Bolivia (Plurinational State of),0.698,15.0,9.8,119.0,Bolivia
Morocco,0.698,14.6,6.1,122.0,Morocco
Nauru,0.696,12.6,9.2,117.0,Nauru
Gabon,0.693,12.4,9.6,123.0,Gabon
Suriname,0.69,11.0,8.4,121.0,Suriname
Bhutan,0.681,13.1,5.8,125.0,Bhutan
Tajikistan,0.679,10.9,11.3,125.0,Tajikistan
El Salvador,0.674,11.9,7.2,127.0,El Salvador
Iraq,0.673,12.2,6.8,128.0,Iraq
Bangladesh,0.67,11.9,7.4,130.0,Bangladesh
Nicaragua,0.669,12.6,7.3,129.0,Nicaragua
Cabo Verde,0.661,11.5,6.1,132.0,Cape Verde
Tuvalu,0.653,12.1,10.6,131.0,Tuvalu
Equatorial Guinea,0.65,12.1,8.3,133.0,Equatorial Guinea
India,0.644,12.6,6.6,135.0,India
Micronesia (Federated States of),0.634,12.6,7.3,134.0,Micronesia
Guatemala,0.629,10.8,5.7,136.0,Guatemala
Kiribati,0.628,11.8,9.1,137.0,Kiribati
Honduras,0.624,10.0,7.3,138.0,Honduras
Lao People's Democratic Republic,0.62,10.2,5.9,140.0,Laos
Vanuatu,0.614,11.8,7.2,141.0,Vanuatu
Sao Tome and Principe,0.613,12.7,5.9,143.0,Sao Tome and Principe
Eswatini (Kingdom of),0.61,14.9,5.7,142.0,Eswatini
Namibia,0.61,11.8,7.2,139.0,Namibia
Myanmar,0.608,12.1,6.5,145.0,Myanmar (Burma)
Ghana,0.602,11.6,6.4,144.0,Ghana
Kenya,0.601,11.4,7.7,147.0,Kenya
Nepal,0.601,12.6,4.5,149.0,Nepal
Cambodia,0.6,11.6,5.2,147.0,Cambodia
Congo,0.593,12.4,8.3,146.0,Republic of the Congo
Angola,0.591,12.2,5.8,150.0,Angola
Cameroon,0.587,13.4,6.5,152.0,Cameroon
Comoros,0.586,13.0,6.2,151.0,Comoros
Zambia,0.569,11.0,7.3,154.0,Zambia
Papua New Guinea,0.568,11.1,4.9,155.0,Papua New Guinea
Timor-Leste,0.566,13.2,6.0,153.0,Timor-Leste
Solomon Islands,0.562,10.3,5.9,155.0,Solomon Islands
Syrian Arab Republic,0.557,7.4,5.7,157.0,Syria
Haiti,0.552,11.1,5.6,158.0,Haiti
Uganda,0.55,11.5,6.2,160.0,Uganda
Zimbabwe,0.55,11.0,8.8,159.0,Zimbabwe
Nigeria,0.548,10.5,7.6,162.0,Nigeria
Rwanda,0.548,11.4,4.9,163.0,Rwanda
Togo,0.547,13.0,5.6,160.0,Togo
Mauritania,0.54,8.1,4.8,164.0,Mauritania
Pakistan,0.54,7.9,4.4,165.0,Pakistan
Côte d'Ivoire,0.534,10.1,4.2,166.0,Côte d'Ivoire
Tanzania (United Republic of),0.532,8.6,5.6,167.0,Tanzania
Lesotho,0.521,11.1,7.5,168.0,Lesotho
Senegal,0.517,9.1,2.9,170.0,Senegal
Sudan,0.516,8.5,3.9,169.0,Sudan
Djibouti,0.515,8.0,3.9,170.0,Djibouti
Malawi,0.508,11.5,5.2,172.0,Malawi
Benin,0.504,10.3,3.1,173.0,Benin
Gambia,0.495,9.0,4.5,174.0,Gambia
Eritrea,0.493,7.3,5.1,174.0,Eritrea
Ethiopia,0.492,9.9,2.4,176.0,Ethiopia
Liberia,0.487,10.5,5.3,177.0,Liberia
Madagascar,0.487,9.2,4.6,177.0,Madagascar
Guinea-Bissau,0.483,10.5,3.7,179.0,Guinea-Bissau
Congo (Democratic Republic of the),0.481,9.6,7.2,180.0,Democratic Republic of the Congo
Guinea,0.471,10.2,2.4,182.0,Guinea
Afghanistan,0.462,10.7,2.5,181.0,Afghanistan
Mozambique,0.461,10.7,3.9,183.0,Mozambique
Sierra Leone,0.458,9.0,3.5,184.0,Sierra Leone
Burkina Faso,0.438,8.1,2.3,185.0,Burkina Faso
Yemen,0.424,7.9,2.8,186.0,Yemen
Burundi,0.42,10.0,3.3,187.0,Burundi
Mali,0.41,7.0,1.6,188.0,Mali
Chad,0.394,8.2,2.3,189.0,Chad
Niger,0.394,7.2,1.3,190.0,Niger
Central African Republic,0.387,7.3,4.0,191.0,Central African Republic
South Sudan,0.381,5.6,5.7,192.0,South Sudan
